"measurementLabel" "measurementCode" "subjectID" "activityLabel" "activityCode" "meanMeasurementBySubjectByActivity"
"tBodyAcc-mean()-X" 1 1 "WALKING" 1 0.277
"tBodyAcc-mean()-X" 1 1 "WALKING_UPSTAIRS" 2 0.255
"tBodyAcc-mean()-X" 1 1 "WALKING_DOWNSTAIRS" 3 0.289
"tBodyAcc-mean()-X" 1 1 "SITTING" 4 0.261
"tBodyAcc-mean()-X" 1 1 "STANDING" 5 0.279
"tBodyAcc-mean()-X" 1 1 "LAYING" 6 0.222
"tBodyAcc-mean()-X" 1 2 "WALKING" 1 0.276
"tBodyAcc-mean()-X" 1 2 "WALKING_UPSTAIRS" 2 0.247
"tBodyAcc-mean()-X" 1 2 "WALKING_DOWNSTAIRS" 3 0.278
"tBodyAcc-mean()-X" 1 2 "SITTING" 4 0.277
"tBodyAcc-mean()-X" 1 2 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 2 "LAYING" 6 0.281
"tBodyAcc-mean()-X" 1 3 "WALKING" 1 0.276
"tBodyAcc-mean()-X" 1 3 "WALKING_UPSTAIRS" 2 0.261
"tBodyAcc-mean()-X" 1 3 "WALKING_DOWNSTAIRS" 3 0.292
"tBodyAcc-mean()-X" 1 3 "SITTING" 4 0.257
"tBodyAcc-mean()-X" 1 3 "STANDING" 5 0.28
"tBodyAcc-mean()-X" 1 3 "LAYING" 6 0.276
"tBodyAcc-mean()-X" 1 4 "WALKING" 1 0.279
"tBodyAcc-mean()-X" 1 4 "WALKING_UPSTAIRS" 2 0.271
"tBodyAcc-mean()-X" 1 4 "WALKING_DOWNSTAIRS" 3 0.28
"tBodyAcc-mean()-X" 1 4 "SITTING" 4 0.272
"tBodyAcc-mean()-X" 1 4 "STANDING" 5 0.28
"tBodyAcc-mean()-X" 1 4 "LAYING" 6 0.264
"tBodyAcc-mean()-X" 1 5 "WALKING" 1 0.278
"tBodyAcc-mean()-X" 1 5 "WALKING_UPSTAIRS" 2 0.268
"tBodyAcc-mean()-X" 1 5 "WALKING_DOWNSTAIRS" 3 0.294
"tBodyAcc-mean()-X" 1 5 "SITTING" 4 0.274
"tBodyAcc-mean()-X" 1 5 "STANDING" 5 0.283
"tBodyAcc-mean()-X" 1 5 "LAYING" 6 0.278
"tBodyAcc-mean()-X" 1 6 "WALKING" 1 0.284
"tBodyAcc-mean()-X" 1 6 "WALKING_UPSTAIRS" 2 0.268
"tBodyAcc-mean()-X" 1 6 "WALKING_DOWNSTAIRS" 3 0.277
"tBodyAcc-mean()-X" 1 6 "SITTING" 4 0.277
"tBodyAcc-mean()-X" 1 6 "STANDING" 5 0.28
"tBodyAcc-mean()-X" 1 6 "LAYING" 6 0.249
"tBodyAcc-mean()-X" 1 7 "WALKING" 1 0.276
"tBodyAcc-mean()-X" 1 7 "WALKING_UPSTAIRS" 2 0.249
"tBodyAcc-mean()-X" 1 7 "WALKING_DOWNSTAIRS" 3 0.28
"tBodyAcc-mean()-X" 1 7 "SITTING" 4 0.285
"tBodyAcc-mean()-X" 1 7 "STANDING" 5 0.283
"tBodyAcc-mean()-X" 1 7 "LAYING" 6 0.25
"tBodyAcc-mean()-X" 1 8 "WALKING" 1 0.275
"tBodyAcc-mean()-X" 1 8 "WALKING_UPSTAIRS" 2 0.259
"tBodyAcc-mean()-X" 1 8 "WALKING_DOWNSTAIRS" 3 0.283
"tBodyAcc-mean()-X" 1 8 "SITTING" 4 0.267
"tBodyAcc-mean()-X" 1 8 "STANDING" 5 0.28
"tBodyAcc-mean()-X" 1 8 "LAYING" 6 0.261
"tBodyAcc-mean()-X" 1 9 "WALKING" 1 0.279
"tBodyAcc-mean()-X" 1 9 "WALKING_UPSTAIRS" 2 0.262
"tBodyAcc-mean()-X" 1 9 "WALKING_DOWNSTAIRS" 3 0.296
"tBodyAcc-mean()-X" 1 9 "SITTING" 4 0.248
"tBodyAcc-mean()-X" 1 9 "STANDING" 5 0.282
"tBodyAcc-mean()-X" 1 9 "LAYING" 6 0.259
"tBodyAcc-mean()-X" 1 10 "WALKING" 1 0.279
"tBodyAcc-mean()-X" 1 10 "WALKING_UPSTAIRS" 2 0.267
"tBodyAcc-mean()-X" 1 10 "WALKING_DOWNSTAIRS" 3 0.29
"tBodyAcc-mean()-X" 1 10 "SITTING" 4 0.271
"tBodyAcc-mean()-X" 1 10 "STANDING" 5 0.277
"tBodyAcc-mean()-X" 1 10 "LAYING" 6 0.28
"tBodyAcc-mean()-X" 1 11 "WALKING" 1 0.272
"tBodyAcc-mean()-X" 1 11 "WALKING_UPSTAIRS" 2 0.264
"tBodyAcc-mean()-X" 1 11 "WALKING_DOWNSTAIRS" 3 0.292
"tBodyAcc-mean()-X" 1 11 "SITTING" 4 0.277
"tBodyAcc-mean()-X" 1 11 "STANDING" 5 0.278
"tBodyAcc-mean()-X" 1 11 "LAYING" 6 0.281
"tBodyAcc-mean()-X" 1 12 "WALKING" 1 0.277
"tBodyAcc-mean()-X" 1 12 "WALKING_UPSTAIRS" 2 0.273
"tBodyAcc-mean()-X" 1 12 "WALKING_DOWNSTAIRS" 3 0.282
"tBodyAcc-mean()-X" 1 12 "SITTING" 4 0.275
"tBodyAcc-mean()-X" 1 12 "STANDING" 5 0.277
"tBodyAcc-mean()-X" 1 12 "LAYING" 6 0.26
"tBodyAcc-mean()-X" 1 13 "WALKING" 1 0.276
"tBodyAcc-mean()-X" 1 13 "WALKING_UPSTAIRS" 2 0.258
"tBodyAcc-mean()-X" 1 13 "WALKING_DOWNSTAIRS" 3 0.295
"tBodyAcc-mean()-X" 1 13 "SITTING" 4 0.274
